"Station Name","SASKATOON DIEFENBAKER INT'L A"
"Province","SASKATCHEWAN"
"Latitude","52.17"
"Longitude","-106.72"
"Elevation","504.10"
"Climate Identifier","4057120"
"WMO Identifier","71866"
"TC Identifier","YXE"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2011-01-01","2011","01","01","†","-13.8","","-27.9","","-20.9","","38.9","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-02","2011","01","02","†","-13.2","","-16.0","","-14.6","","32.6","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-03","2011","01","03","†","-12.0","","-25.1","","-18.6","","36.6","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-04","2011","01","04","†","-6.4","","-12.0","","-9.2","","27.2","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-05","2011","01","05","†","-2.9","","-13.1","","-8.0","","26.0","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-06","2011","01","06","†","1.6","","-12.9","","-5.7","","23.7","","0.0","","","M","","M","","M","","","3","","59",""
"2011-01-07","2011","01","07","†","-2.6","","-11.1","","-6.9","","24.9","","0.0","","","M","","M","","M","","","36","","37",""
"2011-01-08","2011","01","08","†","-10.3","","-15.9","","-13.1","","31.1","","0.0","","","M","","M","","M","","","8","","44",""
"2011-01-09","2011","01","09","†","-14.9","","-19.3","","-17.1","","35.1","","0.0","","","M","","M","","M","","","6","","41",""
"2011-01-10","2011","01","10","†","-12.6","","-19.9","","-16.3","","34.3","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-11","2011","01","11","†","-15.9","","-25.3","","-20.6","","38.6","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-12","2011","01","12","†","-14.6","","-26.8","","-20.7","","38.7","","0.0","","","M","","M","","M","","","13","","35",""
"2011-01-13","2011","01","13","†","-18.6","","-24.9","","-21.8","","39.8","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-14","2011","01","14","†","-17.8","","-21.8","","-19.8","","37.8","","0.0","","","M","","M","","M","","","2","","32",""
"2011-01-15","2011","01","15","†","-20.4","","-23.8","","-22.1","","40.1","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-16","2011","01","16","†","-17.3","","-20.6","","-19.0","","37.0","","0.0","","","M","","M","","M","","","5","","32",""
"2011-01-17","2011","01","17","†","-20.6","","-29.2","","-24.9","","42.9","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-18","2011","01","18","†","-10.1","","-23.9","","-17.0","","35.0","","0.0","","","M","","M","","M","","","21","E","33","E"
"2011-01-19","2011","01","19","†","-16.1","","-31.5","","-23.8","","41.8","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-20","2011","01","20","†","-11.1","","-34.6","","-22.9","","40.9","","0.0","","","M","","M","","M","","","17","","50",""
"2011-01-21","2011","01","21","†","-10.7","","-19.1","","-14.9","","32.9","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-22","2011","01","22","†","-9.2","","-17.3","","-13.3","","31.3","","0.0","","","M","","M","","M","","","17","","35",""
"2011-01-23","2011","01","23","†","3.0","","-11.2","","-4.1","","22.1","","0.0","","","M","","M","","M","","","33","","63",""
"2011-01-24","2011","01","24","†","-1.5","","-8.1","","-4.8","","22.8","","0.0","","","M","","M","","M","","","3","","35",""
"2011-01-25","2011","01","25","†","-5.5","","-13.2","","-9.4","","27.4","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-26","2011","01","26","†","-0.5","","-8.8","","-4.7","","22.7","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-27","2011","01","27","†","1.9","","-8.8","","-3.5","","21.5","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-28","2011","01","28","†","3.9","","-15.5","","-5.8","","23.8","","0.0","","","M","","M","","M","","","34","","61",""
"2011-01-29","2011","01","29","†","-15.5","","-25.5","","-20.5","","38.5","","0.0","","","M","","M","","M","","","2","","32",""
"2011-01-30","2011","01","30","†","-24.3","","-30.2","","-27.3","","45.3","","0.0","","","M","","M","","M","","","","","<31",""
"2011-01-31","2011","01","31","†","-21.5","","-34.7","","-28.1","","46.1","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-01","2011","02","01","†","-20.2","","-32.6","","-26.4","","44.4","","0.0","","","M","","M","","M","","","21","","33",""
"2011-02-02","2011","02","02","†","1.4","","-22.2","","-10.4","","28.4","","0.0","","","M","","M","","M","","","22","","37",""
"2011-02-03","2011","02","03","†","3.3","","-8.6","","-2.7","","20.7","","0.0","","","M","","M","","M","","","30","","32",""
"2011-02-04","2011","02","04","†","2.3","","-7.7","","-2.7","","20.7","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-05","2011","02","05","†","0.7","","-4.5","","-1.9","","19.9","","0.0","","","M","","M","","M","","","1","","44",""
"2011-02-06","2011","02","06","†","-4.5","","-26.7","","-15.6","","33.6","","0.0","","","M","","M","","M","","","1","","46",""
"2011-02-07","2011","02","07","†","-20.4","","-29.2","","-24.8","","42.8","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-08","2011","02","08","†","-15.6","","-27.7","","-21.7","","39.7","","0.0","","","M","","M","","M","","","29","","37",""
"2011-02-09","2011","02","09","†","-16.2","","-28.7","","-22.5","","40.5","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-10","2011","02","10","†","-0.8","","-23.4","","-12.1","","30.1","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-11","2011","02","11","†","-0.3","","-6.0","","-3.2","","21.2","","0.0","","","M","","M","","M","","","29","","35",""
"2011-02-12","2011","02","12","†","1.2","","-6.8","","-2.8","","20.8","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-13","2011","02","13","†","3.2","","-6.8","","-1.8","","19.8","","0.0","","","M","","M","","M","","","32","","57",""
"2011-02-14","2011","02","14","†","1.3","","-8.4","","-3.6","","21.6","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-15","2011","02","15","†","3.9","","-11.2","","-3.7","","21.7","","0.0","","","M","","M","","M","","","30","","61",""
"2011-02-16","2011","02","16","†","-10.7","","-17.8","","-14.3","","32.3","","0.0","","","M","","M","","M","","","36","","44",""
"2011-02-17","2011","02","17","†","-12.4","","-27.2","","-19.8","","37.8","","0.0","","","M","","M","","M","","","4","","48",""
"2011-02-18","2011","02","18","†","-20.8","","-31.8","","-26.3","","44.3","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-19","2011","02","19","†","-20.8","","-29.9","","-25.4","","43.4","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-20","2011","02","20","†","-18.3","","-35.0","","-26.7","","44.7","","0.0","","","M","","M","","M","","","17","","33",""
"2011-02-21","2011","02","21","†","-9.7","","-24.2","","-17.0","","35.0","","0.0","","","M","","M","","M","","","18","","41",""
"2011-02-22","2011","02","22","†","-10.0","","-23.9","","-17.0","","35.0","","0.0","","","M","","M","","M","","","35","","33",""
"2011-02-23","2011","02","23","†","-15.8","","-27.7","","-21.8","","39.8","","0.0","","","M","","M","","M","","","30","","39",""
"2011-02-24","2011","02","24","†","-23.6","","-33.8","","-28.7","","46.7","","0.0","","","M","","M","","M","","","","","<31",""
"2011-02-25","2011","02","25","†","-23.2","","-36.8","","-30.0","","48.0","","0.0","","","M","","M","","M","","","2","","37",""
"2011-02-26","2011","02","26","†","-10.8","","-25.5","","-18.2","","36.2","","0.0","","","M","","M","","M","","","19","","44",""
"2011-02-27","2011","02","27","†","-9.3","","-16.6","","-13.0","","31.0","","0.0","","","M","","M","","M","","","1","","35",""
"2011-02-28","2011","02","28","†","-15.5","","-23.7","","-19.6","","37.6","","0.0","","","M","","M","","M","","","5","","57",""
"2011-03-01","2011","03","01","†","-22.9","","-31.8","","-27.4","","45.4","","0.0","","","M","","M","","M","","","","","<31",""
