"Station Name","SASKATOON DIEFENBAKER INT'L A"
"Province","SASKATCHEWAN"
"Latitude","52.17"
"Longitude","-106.72"
"Elevation","504.10"
"Climate Identifier","4057120"
"WMO Identifier","71866"
"TC Identifier","YXE"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data for this day has undergone only basic quality checking"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-01-01","1996","01","01","","-11.6","","-24.8","","-18.2","","36.2","","0.0","","0.0","","0.4","","0.4","","16","","","","",""
"1996-01-02","1996","01","02","","-10.8","","-25.7","","-18.3","","36.3","","0.0","","0.0","","0.8","","0.8","","16","","","","",""
"1996-01-03","1996","01","03","","-11.0","","-27.7","","-19.4","","37.4","","0.0","","0.0","","0.2","","0.2","","12","","","","",""
"1996-01-04","1996","01","04","","-27.6","","-37.8","","-32.7","","50.7","","0.0","","0.0","","0.0","T","0.0","T","14","","","","",""
"1996-01-05","1996","01","05","","-30.8","","-40.7","","-35.8","","53.8","","0.0","","0.0","","0.2","","0.0","T","15","","","","",""
"1996-01-06","1996","01","06","","-15.3","","-35.3","","-25.3","","43.3","","0.0","","0.0","","0.8","","0.4","","11","","","","",""
"1996-01-07","1996","01","07","","-4.2","","-15.3","","-9.8","","27.8","","0.0","","0.0","","0.4","","0.4","","9","","","","",""
"1996-01-08","1996","01","08","","-3.2","","-12.0","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-09","1996","01","09","","-5.4","","-13.6","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-01-10","1996","01","10","","-5.0","","-11.4","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-01-11","1996","01","11","","5.6","","-6.1","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1996-01-12","1996","01","12","","4.5","","-10.4","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","5","","","","",""
"1996-01-13","1996","01","13","","-9.7","","-24.6","","-17.2","","35.2","","0.0","","0.4","","0.0","","0.4","","4","","","","",""
"1996-01-14","1996","01","14","","-24.5","","-29.1","","-26.8","","44.8","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-15","1996","01","15","","-17.9","","-26.5","","-22.2","","40.2","","0.0","","0.0","","2.8","","2.8","","10","","","","",""
"1996-01-16","1996","01","16","","-19.2","","-26.4","","-22.8","","40.8","","0.0","","0.0","","7.0","","7.0","","10","","","","",""
"1996-01-17","1996","01","17","","-26.0","","-38.0","","-32.0","","50.0","","0.0","","0.0","","0.0","T","0.0","T","10","","","","",""
"1996-01-18","1996","01","18","","-30.9","","-41.5","","-36.2","","54.2","","0.0","","0.0","","0.2","","0.0","T","10","","","","",""
"1996-01-19","1996","01","19","","-32.7","","-40.8","","-36.8","","54.8","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-20","1996","01","20","","-27.8","","-37.9","","-32.9","","50.9","","0.0","","0.0","","0.2","","0.2","","8","","","","",""
"1996-01-21","1996","01","21","","-24.9","","-38.1","","-31.5","","49.5","","0.0","","0.0","","0.2","","0.0","T","8","","","","",""
"1996-01-22","1996","01","22","","-21.9","","-31.8","","-26.9","","44.9","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-23","1996","01","23","","-22.0","","-34.5","","-28.3","","46.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-01-24","1996","01","24","","-26.1","","-36.3","","-31.2","","49.2","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-01-25","1996","01","25","","-26.3","","-37.0","","-31.7","","49.7","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-26","1996","01","26","","-24.8","","-35.7","","-30.3","","48.3","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-27","1996","01","27","","-28.5","","-38.9","","-33.7","","51.7","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-28","1996","01","28","","-27.4","","-32.3","","-29.9","","47.9","","0.0","","0.0","","1.4","","1.4","","8","","","","",""
"1996-01-29","1996","01","29","","-30.0","","-41.2","","-35.6","","53.6","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-30","1996","01","30","","-26.5","","-38.6","","-32.6","","50.6","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-01-31","1996","01","31","","-30.3","","-42.1","","-36.2","","54.2","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-02-01","1996","02","01","","-29.7","","-42.8","","-36.3","","54.3","","0.0","","0.0","","0.3","","0.3","","8","","","","",""
"1996-02-02","1996","02","02","","-29.3","","-38.7","","-34.0","","52.0","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-02-03","1996","02","03","","-22.0","","-37.8","","-29.9","","47.9","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1996-02-04","1996","02","04","","-20.7","","-28.2","","-24.5","","42.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-02-05","1996","02","05","","-1.4","","-25.6","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-02-06","1996","02","06","","4.0","","-6.2","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-02-07","1996","02","07","","-1.6","","-13.2","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1996-02-08","1996","02","08","","0.9","","-11.2","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1996-02-09","1996","02","09","","0.1","","-10.9","","-5.4","","23.4","","0.0","","0.0","","0.0","T","0.0","T","7","","","","",""
"1996-02-10","1996","02","10","","-1.8","","-10.7","","-6.3","","24.3","","0.0","","0.0","","0.6","","0.6","","7","","","","",""
"1996-02-11","1996","02","11","","-3.7","","-17.2","","-10.5","","28.5","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"1996-02-12","1996","02","12","","3.6","","-17.1","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
